id,gameTitle,gameSystem,nowPlaying,gameStatus,gameHours,gameMinutes,gameNotes,gameADate,gameSDate,gameBDate,gameCDate
347,PAC-MAN Championship Edition DX+,Steam,N,C,,,,2013-09-20,,2013-09-25,2013-09-27
348,Dance Dance Revolution Extreme,PS2,N,C,,,,2013-09-23,,2013-09-27,2013-10-01
349,Pokemon Y,3DS,N,B,158,36,"Inspired by the World Championships...28/50 in a row is my best so far. Kalos Champion in 31:21! Honestly, I never thought I''d play a game like Silver again. That perfect, polished feeling. The level curve could have been more challenging, but in the end, the multiplayer additions more than make up for it.",2013-10-01,2013-10-12,2013-10-14,
350,Flower Town,3DS,N,C,,,Missing about 100 colors. All plants. My 2nd favorite streetpass game. Fun!,2013-11-01,,2013-11-13,2014-01-15
351,The Legend of Zelda: A Link Between Worlds,3DS,N,B,16,17,"Going for completion on Hero Mode. Awesome, awesome game. Hero Mode should make it a lot more challenging!",2013-11-18,2013-11-24,2013-11-28,
352,Epic Quest Table,Steam,N,B,,,,2013-11-24,,2013-11-24,
353,Marvel Pinball: Avengers Chronicles Pack,Steam,N,B,,,,2013-11-24,,2013-11-24,
354,Marvel Pinball: Original Pack,Steam,N,B,,,,2013-11-24,,2013-11-24,
355,Star Wars Pack,Steam,N,B,,,,2013-11-24,,2013-11-24,
356,Dark Souls: Prepare to Die Edition,Steam,N,B,,,,2013-11-28,2013-11-28,2013-12-08,
357,Fire Emblem: Awakening,3DS,N,B,33,34,Finished the game on Classic Hard.,2013-11-29,,2014-06-17,
358,Dust: An Elysian Tail,Steam,N,B,,,,2013-12-02,2014-04-12,2014-04-15,
359,Hearthstone: Heroes of Warcraft,BNet,N,I,,,,2013-12-03,,,
360,Borderlands: Game of the Year Edition,Steam,N,C,,,,2013-12-07,2013-12-26,2014-01-31,2017-11-05
361,Bravely Default,3DS,N,C,82,15,Everything.,2013-12-17,2014-02-12,2014-03-29,2014-09-07
362,Mario Party: Island Tour,3DS,N,B,7,54,Traded in.,2013-12-25,2013-12-25,2013-12-28,
363,Valdis Story: Abyssal City,Steam,N,B,,,,2014-01-01,2014-03-12,2014-04-11,
364,TrackManiaÂ² Stadium,Steam,N,B,,,,2014-01-02,2014-01-30,2014-01-30,
365,DiRT 3,Steam,N,B,,,,2014-01-31,,2014-03-08,
366,DiRT Showdown,Steam,N,C,,,,2014-01-31,2014-03-12,2014-03-12,2017-12-03
367,Lightning Returns: Final Fantasy XIII,360,N,B,22,38,It took 22 hours to end the world. XD,2014-01-31,2014-02-13,2014-02-18,
368,DDRMAX2: Dance Dance Revolution,PS2,N,C,,,,2014-02-05,,2014-02-05,2014-03-07
369,RESOGUN,PS4,N,C,,,,2014-02-16,,2014-02-16,2014-06-01
370,Trials Fusion,PS4,N,B,,,,2014-04-18,,2014-04-18,
371,Grand Theft Auto 2,Steam,N,I,,,,2014-04-22,,,
372,Next Car Game,Steam,N,I,,,,2014-04-22,,,
373,Operation Flashpoint: Dragon Rising,Steam,N,I,,,,2014-04-22,,,
374,Operation Flashpoint: Red River,Steam,N,I,,,,2014-04-22,,,
375,Overlord,Steam,N,I,,,,2014-04-22,,,
376,Overlord II,Steam,N,I,,,,2014-04-22,,,
377,Stonehearth,Steam,N,I,,,,2014-04-22,,,
379,Heroes of the Storm,BNet,N,I,,,,2014-05-12,,,
380,Plants vs. Zombies: Game of the Year Edition,Origin,N,B,,,,2014-05-12,2014-06-04,2014-06-13,
381,Diablo II,PC,N,B,,,,2014-05-19,2014-06-05,2014-06-10,
382,Bastion,Steam,N,B,,,,2014-05-28,2014-07-27,2014-07-29,
383,Diablo III,BNet,N,C,,,,2014-06-02,2014-06-21,2014-07-09,2014-07-12
384,Trials Frontier,Droid,N,C,,,,2014-06-20,,2014-08-07,2014-08-07
385,Peggle Deluxe,Steam,N,B,,,,2014-06-22,2014-06-25,2014-06-25,
386,Peggle Nights,Steam,N,B,,,,2014-06-22,2014-06-25,2014-07-04,
387,Pokemon Trading Card Game Online,PC,N,I,,,,2014-06-25,,,
388,Rise of the Argonauts,Steam,N,I,,,,2014-07-03,,,
389,Chrono Cross,PS,N,S,,,,2014-08-20,,,
390,Devil May Cry 3,PS2,N,S,6,26,,2014-08-20,,,
391,Final Fantasy Tactics,PS,N,B,24,54,,2014-08-20,,2015-10-30,
392,Star Wars: Knights of the Old Republic,Steam,N,S,,,,2014-08-20,,,
