id,gameTitle,subTitle,gameSystem,nowPlaying,gameStatus,gameHours,gameMinutes,addDate,startDate,beatDate,completeDate,gameNotes
D028,DRIVECLUB,Apex,PS4,N,Completed,,,,,,,
D029,DRIVECLUB,Downforce,PS4,N,Completed,,,,,,,
D030,DRIVECLUB,Elements,PS4,N,Completed,,,,,,,
D031,DRIVECLUB,Evolution,PS4,N,Completed,,,,,,,
D032,DRIVECLUB,Horsepower,PS4,N,Completed,,,,,,,
D033,DRIVECLUB,Ignition,PS4,N,Completed,,,,,,,Too easy.
D034,DRIVECLUB,Lamborghini,PS4,N,Completed,,,,,,,
D035,DRIVECLUB,Lamborghini Icons,PS4,N,Completed,,,,,,,
D036,DRIVECLUB,Midnight,PS4,N,Completed,,,,,,,
D037,DRIVECLUB,Pacesetter,PS4,N,Completed,,,,,,,
D038,DRIVECLUB,Photo-Finish,PS4,N,Completed,,,,,,,
D039,DRIVECLUB,Redline,PS4,N,Completed,,,,,,,
D040,DRIVECLUB,RPM,PS4,N,Completed,,,,,,,
D041,DRIVECLUB,Sakura,PS4,N,Completed,,,,,,,
D042,DRIVECLUB,Torque,PS4,N,Completed,,,,,,,
D043,DRIVECLUB,Turbocharged,PS4,N,Completed,,,,,,,
D044,DRIVECLUB,Unite In Speed,PS4,N,Completed,,,,,,,
D045,DRIVECLUB,Velocity,PS4,N,Completed,,,,,,,
D046,Peggle 2,Jimmy Lightning Master Pack,PS4,N,Completed,,,,,,,
D047,Peggle 2,Windy the Fairy Master Pack,PS4,N,Completed,,,,,,,
D048,Burnout Paradise Remastered,Big Surf Island,PS4,N,Completed,,,4/28/2018,5/20/2018,5/27/2018,5/27/2018,
D049,Burnout Paradise Remastered,Bikes Pack,PS4,N,Completed,,,4/28/2018,5/27/2018,5/30/2018,5/30/2018,
D050,Burnout Paradise Remastered,Boost Specials,PS4,N,Completed,,,4/28/2018,5/27/2018,5/27/2018,5/27/2018,
D051,Burnout Paradise Remastered,Cagney Update,PS4,N,Completed,,,4/28/2018,5/13/2018,5/13/2018,5/20/2018,
D052,Burnout Paradise Remastered,Cops and Robbers,PS4,N,Completed,,,4/28/2018,5/19/2018,5/19/2018,5/19/2018,
D053,Burnout Paradise Remastered,Legendary Cars,PS4,N,Completed,,,4/28/2018,5/19/2018,5/20/2018,5/20/2018,
D054,Burnout Paradise Remastered,Party Pack,PS4,N,Completed,,,4/28/2018,5/20/2018,5/27/2018,5/27/2018,
D055,Burnout Paradise Remastered,Toy Cars,PS4,N,Completed,,,4/28/2018,5/27/2018,5/27/2018,5/27/2018,
D056,Forza Horizon 3,Blizzard Mountain,PC,N,Completed,,,10/3/2018,5/24/2019,6/13/2019,43659,
D057,Forza Horizon 3,Hot Wheels,PC,N,Completed,,,10/3/2018,5/24/2019,6/14/2019,6/27/2019,
D058,Borderlands 2,Commander Lilith and the Fight for Sanctuary,360,N,Completed,,,6/9/2019,6/17/2019,6/18/2019,6/18/2019,
D059,Borderlands 3,Moxxi's Heist of the Handsome Jackpot,PS4,N,Completed,,,11/24/2019,4/14/2020,43936,43939,
D060,Borderlands 3,"Guns, Love, and Tentacles",PS4,N,Completed,,,11/24/2019,43941,43943,43944,
